"municipio","valor","unidade","abrigos_listados","vagas_abrigos","populacao_area_risco","evidencia","confianca","erro"
"São Jerônimo","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","21.028","Parque de Exposições Januarinho Ramos- Rs 401; Atlético CEEE- R. Esperidião Saraiva da Fonseca, 147 - Cidade Alta; Escola Municipal Salgado Filho- R. Mário Sicca, 341; Instituto Estadual de Educação São Jerônimo- R. João Daisson, 637 - Bela Vista; Salão Paroquial junto a Igreja Nossa Senhora da Conceição-R. Osvaldo Aranha, 164 – Centro. POPULAÇÃO: Em 2022, a população era de 21.028 habitantes e a densidade demográfica era de 22,48 habitantes por quilômetro quadrado.","alta",""
"São José do Herval","verde","semáforo (verde/amarelo/vermelho)","sim","600","1902","CTG Querência do Herval - Avenida Getúlio Vargas. Capacidade: 300 pessoas.; Salão Paroquial - Rua Duque de Caxias, Centro. Capacidade: 300 pessoas.; População: 1,902 (IBGE, 2022).","alta",""
"São José do Hortêncio","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","4.551 habitantes","Lista De Abrigos — Abrigo I Identificação: Ginásio Municipal Clóvis Luiz Schaffer Endereço: Avenida do Parque Responsável: Kelli Cristini Krummenauer Tel Celular: (51) 99398-1000 Capacidade: pessoas","alta",""
"São José do Norte","verde","semáforo (verde/amarelo/vermelho)","sim","560","N/A","Escola João de Deus Collares (Abrigo I) - Rua Fernando Duprat. ... Capacidade 60; Projeto Semente da Esperança (Abrigo II) - Rua Evandra Ribeiro da Silva ... Capacidade 200; Ginásio Mário Malta (Abrigo III) - Av. Presidente Vargas ... Capacidade 300","alta",""
"São José do Ouro","verde","semáforo (verde/amarelo/vermelho)","sim","460","N/A","Abrigo I: Ginásio de Esportes Santo Vanz, capacidade 200; Abrigo II: Salão Paroquial, capacidade 180; Abrigo III: Ginásio Bairro das Canções, capacidade 80.","alta",""
"São José do Sul","verde","semáforo (verde/amarelo/vermelho)","sim","55 famílias","N/A","Lista De Abrigos — Abrigo I: Escola Municipal de Ensino Fundamental Valeria Maria Kirch — Capacidade: 25 famílias; Abrigo II: Sociedade Esportiva C. Recreativa Botafogo — Capacidade: 30 famílias","alta",""
"São João da Urtiga","verde","semáforo (verde/amarelo/vermelho)","sim","650","N/A","Lista de Abrigos: 1. Ginásio Municipal de Esportes Tranquilo Zanin — Endereço: Rua Onedison Caprini — Capacidade: 250 pessoas; 2. Salão Paroquial Cristo Rei — Endereço: Rua Itália, nº 210 — Capacidade: 250 pessoas; 3. Escola Municipal de Ensino Fundamental Luiz Biasi — Endereço: Travessa Verildo Batista Bianchi, nº 55 — Capacidade: 150 Pessoas.","alta",""
"São João do Polêsine","verde","semáforo (verde/amarelo/vermelho)","sim","2180","2649","Abrigo III Identificação: Centro de Eventos Municipal Alfredo Roberto Bortolotto Endereço: Rua Guilherme Alberti, Centro, São João do Polêsine Capacidade: 700 pessoas[Abrigo II Identificação: Ginásio Vila Ceolin ... Capacidade: 350 pessoas][Abrigo I ... Capacidade: 250 pessoas][Abrigo IV ... Capacidade: 290 pessoas][Abrigo V ... Capacidade: 290 pessoas][Abrigo VI ... Capacidade: 200 pessoas] / Nome: São João do Polêsine/RS População: 2.649 habitantes","alta",""
"São Leopoldo","verde","semáforo (verde/amarelo/vermelho)","sim","2000","N/A","NOME DO ABRIGO: Ginásio Municipal Celso Morbach ... CAPACIDADE DO ABRIGO: 1000 [ref_id:2][ref_id:3] NOME DO ABRIGO: Associação tradicionalista da Feitoria ... CAPACIDADE DO ABRIGO: 250 pessoas [ref_id:0][ref_id:1] NOME DO ABRIGO: AABB São Leopoldo ... CAPACIDADE DO ABRIGO: 150 [ref_id:1][ref_id:2] NOME DO ABRIGO: Parque do trabalhador ... CAPACIDADE DO ABRIGO: 400 [ref_id:2][ref_id:3] NOME DO ABRIGO: CTG Tropeiro das Coxilhas ... CAPACIDADE DO ABRIGO: 120 [ref_id:4] NOME DO ABRIGO: Ocupação Morada do Sol ... CAPACIDADE DO ABRIGO: 80 [ref_id:0]","alta",""
"São Lourenço do Sul","vermelho","semáforo (verde/amarelo/vermelho)","N/A","N/A","N/A","N/A","baixa",""
"São Martinho da Serra","verde","semáforo (verde/amarelo/vermelho)","sim","450","N/A","Ginásio de esportes, com capacidade para 350 pessoas, localizado na Avenida 24 de janeiro. Salão da Igreja Matriz, com capacidade para 100 pessoas, localizado na rua Vale Machado.","alta",""
"São Pedro da Serra","verde","semáforo (verde/amarelo/vermelho)","sim","100","3600","Abrigo I Identificação: Salão Comunitário da Igreja Endereço: Rua da Matriz, s/n, Centro ... Capacidade: 50 pessoas [ref_id:0]; Abrigo II Identificação: Ginásio Municipal Endereço: Rua Hugo Hommerding ... Capacidade: 50 pessoas ; Município Nome: São Pedro da Serra População: 3600 Área: 35km² [ref_id:0]","alta",""
"São Pedro do Sul","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","16671","Nome: Ginásio Municipal Álvaro Becker; Endereço: Rua Ernesto Wagner, 359; ABRIGOS - 1"" e ""Nº de afetados: 16671","alta",""
"São Sebastião do Caí","verde","semáforo (verde/amarelo/vermelho)","sim","400","N/A","ABRIGO TEMPORÁRIO 01: GINÁSIO DA EMEF SÃO JOSÉ ... N° ESTIMADO DE PESSOAS ABRIGADAS: 100 [ref_id:2][ref_id:3] || ABRIGO TEMPORÁRIO 02: GINÁSIO DA EMEF CONCEIÇÃO ... N° ESTIMADO DE PESSOAS ABRIGADAS: 100 [ref_id:1] || ABRIGO TEMPORÁRIO 03: SALÃO A DO PARQUE CENTENÁRIO ... N° ESTIMADO DE PESSOAS ABRIGADAS: 200 [ref_id:0][ref_id:5] || ""Estão previstos 3 abrigos temporários"" (quadro com níveis de acionamento) indicando capacidade por nível: 100, 100 e 200 pessoas [ref_id:4]","alta",""
"São Sepé","verde","semáforo (verde/amarelo/vermelho)","sim","500","N/A","GINÁSIO MUNICIPAL DE SÃO SEPÉ/RS. Endereço: Av. Júlio Vargas, Nº 3112 – São Sepé/RS. Responsável: Rodrigo Ferreira. Telefone: 0800 090 0129 – Ramal 406. WhatsApp: (55) 99679.3867. Capacidade: Até 500 pessoas.","alta",""
"São Vendelino","verde","semáforo (verde/amarelo/vermelho)","sim","500","N/A","ABRIGO: Salão O Imigrante ... CAPACIDADE: 200 Pessoas ... ABRIGO: Ginásio Juvenal ... CAPACIDADE: 150 Pessoas ... ABRIGO: Ginásio Morro Canastra ... CAPACIDADE: 150 Pessoas","alta",""
"São Vicente do Sul","verde","semáforo (verde/amarelo/vermelho)","sim","300","N/A","Abrigo I Identificação: Ginásio de Esportes Endereço: Rua Carapé, 424 Capacidade: 100 pessoas[ref_id:1] Abrigo II Identificação: Pavilhão FECOBAT B Endereço: Rua Carapé, 424 Capacidade: 100 pessoas[ref_id:1] Abrigo III Identificação: Pavilhão FECOBAT C Endereço: Rua Carapé, 424 Capacidade: 100 pessoas[ref_id:3]","alta",""
"Sério","amarelo","semáforo (verde/amarelo/vermelho)","nao","N/A","2.281","Os pontos referem-se a Localidades/centro e compreendem a totalidade da população (2.281 habitantes).","alta",""
"Tabaí","amarelo","semáforo (verde/amarelo/vermelho)","sim","N/A","N/A","Seção ""6. Lista de Abrigos"" mostra quatro colunas rotuladas Abrigo 1 a Abrigo 4 (linhas de detalhes em branco) e seção 4 tabela com entrada ""Todo município"" / ""ESTIAGEM"" / ""As áreas mais afetadas são no interior do município.""","alta",""
"Tapejara","verde","semáforo (verde/amarelo/vermelho)","sim","800","24557","Identificação: Ginásio Municipal Lourenço José Dall´Olivo Endereço: R. Isaco Calegari, 124-250 - Treze de Maio, Tapejara - RS, 99950-000 ... Capacidade: 800 [e] População: 24.557 (Censo 2022)","alta",""
"Tapera","verde","semáforo (verde/amarelo/vermelho)","sim","850","10.824","ABRIGO I IDENTIFICAÇÃO: GINÁSIO MUNICIPAL JOÃO GOULART ... CAPACIDADE: 600 PESSOAS [ref_id:0][ref_id:0] || ABRIGO II IDENTIFICAÇÃO: GINÁSIO MUNICIPAL ROMEU CLAUDIO KLOECKNER ... CAPACIDADE: 150 PESSOAS [ref_id:0][ref_id:4] || ABRIGO III IDENTIFICAÇÃO: GINÁSIO GERALDINO MOCELIN ... CAPACIDADE: 100 PESSOAS [ref_id:4]","alta",""
"Tapes","verde","semáforo (verde/amarelo/vermelho)","sim","450","14659","Abrigo I ... Capacidade (150 pessoas) / Abrigo II ... Capacidade (150 pessoas) / Abrigo III ... Capacidade (150 pessoas) / População: 14.659","alta",""
"Taquara","verde","semáforo (verde/amarelo/vermelho)","sim","250","1681","Abrigo (shelter): ""Salão com capacidade de acolhimento de 50 pessoas."" Quantidade total: 50. Quantidade destinada: 50.[ref_id:0] / Abrigo (shelter): school gym used as temporary shelter for displaced people, with capacity for approximately 200 people; Quantidade total: 200. Quantidade destinada: 200.[ref_id:0] / ""População: Families 1,681; Residências populares 1,681""[ref_id:2]","alta",""
"Taquari","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","25,198","1) ""Relação de áreas de abrigo... Abrigo para acolhimento de famílias"" listando: Ginásio de Esportes José Fritz Machado — rua Ceci Leite Costa, bairro Santo Antônio; Esporte Clube Pinheiros Dutra — Rua José Porfírio da Costa, Bairro São Antônio; Escola Osvaldo Ferreira Brandão — bairro Prado; Escola Lassale — bairro Passo da Aldeia; Sociedade Esportiva Cultural Juventude — Rincão São José."" 2) ""Taquari... população given as 25,198 (last census)""","alta",""
"Tavares","verde","semáforo (verde/amarelo/vermelho)","sim","210","5484","Identificação: Ginásio de Esportes Professora Maria Alzira ... Endereço: Rua Tereza Carvalho de Noronha ... Capacidade: 150 pessoas; Identificação: CRAS ... Endereço: Rua Marcelo Gama ... Capacidade: 60 pessoas; População: 5.484","alta",""
"Teutônia","amarelo","semáforo (verde/amarelo/vermelho)","sim","N/A","N/A","Locais de Acolhimento: Conforme “Anexo D”.","alta",""
"Tio Hugo","verde","semáforo (verde/amarelo/vermelho)","sim","3.300","N/A","Abrigo I Identificação: Ginásio Municipal De Esportes Gilmar Mühl ... Capacidade: 1.500 pessoas ... Abrigo II ... Capacidade: 1.500 pessoas ... Abrigo III Identificação: Ginásio Laurentino Machado ... Capacidade: 300 pessoas","alta",""
"Toropi","verde","semáforo (verde/amarelo/vermelho)","sim","800","2554","Abrigo I ... Ginásio Municipal de Esportes ... Capacidade: 400 pessoas; Abrigo II ... Pavilhão da Comunidade Católica ... Capacidade: 200 pessoas; Abrigo III ... Pavilhão da Comunidade Luterana São Paulo ... Capacidade: 200 pessoas; Município ... População: 2,554 (2022)","alta",""
"Travesseiro","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","N/A","ABRIGO PÚBLICO\nGINÁSIO MUNICIPAL DE ESPORTES\n\nRUA AUGUSTO MARCO STEFANI, S/N , BAIRRO CENTRO\nRESPONSÁVEL PELO LOCAL: EVANDRO ALFREDO ZANATTA\n\nCONTATO: (51) 99679-3007","alta",""
"Triunfo","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","1500","""ABRIGOS - 1\n\nTipo: PAVILHAO\nNome: Parque de Exposições Camboatá\n...\nÁrea disponível para alojamento(m²): 2000""; ""ABRIGOS - 2\n\nTipo: GINASIO\nNome: Ginásio Municipal de Esportes Leopoldo Galarça Radin\n...\nÁrea disponível para alojamento(m²): 2000""; ""ABRIGOS - 8\n\nTipo: ESCOLA\nNome: Escola Municipal Oswaldo Aranha\n...\nÁrea disponível para alojamento(m²): 300""; ""ABRIGOS - 3\n\nTipo: GINASIO\nNome: Ginásio Homero Martins Dutra\n...\nÁrea disponível para alojamento(m²): 1000""","alta",""
"Três Arroios","verde","semáforo (verde/amarelo/vermelho)","sim","950","2.591","LISTA DE ABRIGOS — ABRIGO I: ginásio municipal ... capacidade (700 pessoas); ABRIGOS com capacidades visíveis: 150, 50, 50 (totalizando 950). População 2.591 habitantes.","alta",""
"Três Coroas","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","N/A","- ABRIGO CENTRAL: Ginásio municipal de esportes Armando Brusius - Rua Luís Volkart, 267 – Centro.[ref_id:0][ref_id:12] - ABRIGO LOT. EUCALIPTO: EMEF Frederico Ritter - Rua das Camélias, 250 F - Loteamento Eucaliptos.[ref_id:12] - ABRIGO LINHA 28: EMEF Olavo Bilac - Rua Augusto Becker, 1840 - Linha 28.[ref_id:12][ref_id:16] - ABRIGO EM ÁGUAS BRANCAS: EMEF Águas Brancas - Rua Águas Brancas, 625 - Águas Brancas.[ref_id:12][ref_id:16] - ABRIGO QUILOMBO: EMEF Dom Pedro II - Rua Carlos F Saúl, 240 – Quilombo.[ref_id:12][ref_id:16] - ABRIGO MOREIRA: Sociedade da comunidade de moreira, Estrada Moreira.[ref_id:12][ref_id:16] - ABRIGO RECOSTA: Sociedade cultural e recreativa de canto avante de rodeio bonito, RS 020, N° 14046.[ref_id:12][ref_id:16] - Recursos com capacidades parciais citadas: CAPS alojamento para 2 famílias; Centro do Idoso alojamento para no máximo 5 famílias; Centro de Lazer do Idoso abriga até 10 famílias.[ref_id:12][ref_id:15]","alta",""
"Tunas","verde","semáforo (verde/amarelo/vermelho)","sim","600","N/A","Identificação: Salão do Idoso (assistência social) Endereço: Rua João José Schmitt Capacidade: 100 pessoas[ref_id:0] Identificação: Ginásio Municipal Endereço: Rua Rodolfo Frantz Capacidade: 500 pessoas[ref_id:0]","alta",""
"Tupanci do Sul","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","500","ABRIGOS - 1 Tipo: GINASIO Nome: Ginasio Muncipal de Esportes Ivaldino Zanela Endereço: Av. Luiz Panisson Área disponível para alojamento(m²): 400 Identificação dos possíveis danos - 5.1 Nº de residências: 15 N° de prédios públicos: 0 N° de afetados: 500","alta",""
"Tupanciretã","verde","semáforo (verde/amarelo/vermelho)","sim","530","N/A","Lista De Abrigos ... cada entrada ... inclui ... capacidade (shown as 150, 120, 180 and 80 pessoas)","alta",""
"Tupandi","verde","semáforo (verde/amarelo/vermelho)","sim","280","5029","Abrigo I — Ginásio Municipal Júlio Redecker — Endereço: Rua Carlos F. Mombach — Capacidade: 150 pessoas; Abrigo II — Ginásio Municipal Mãe de Deus — Endereço: Rua Sol Nascente, Bairro Jardim da Alegria — Capacidade: 50 pessoas; Abrigo III — Ginásio Municipal Morro da Manteiga — Endereço: Rua Padre Balduíno Rambo, Morro da Manteiga — Capacidade: 50 pessoas; Abrigo IV — Ginásio Escola São Francisco — Endereço: Rua Carlos Weber, Centro — Capacidade: 30 pessoas; População residente: 5.029 (IBGE Censo 2022)","alta",""
"Turuçu","verde","semáforo (verde/amarelo/vermelho)","sim","1840","3522","Abrigo I: ...Capacidade é dada como 1,240 pessoas; Abrigo III: ...Capacidade: 600 pessoas; Abrigo II: ...Capacidade campo em branco; ""População: 3,522""","alta",""
"Unistalda","verde","semáforo (verde/amarelo/vermelho)","sim","500","1.995","Identificação: Ginasio de Esportes Heron Ribeiro \nEndereço: Rua Neto Finamor \nCapacidade: 500 pessoas","alta",""
"Vale Real","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","N/A","Lista de abrigos, pontos logísticos, e áreas de estocagem de moveis. Nome do local Endereço Georreferência Locação Responsável Telefone Ginásio Arno Stoffels RS 235, 6735- Centro, Vale Real -29.398198, -51.253058 Abrigo de pessoas, centro de triagem, deposito de donativos... Comunidade Luterana Alfredo Stürmer 02, S/N- Centro, Vale Real -29.397563, -51.250886 Abrigo de pessoas, centro de triagem... Ginásio Escola FJK RS 452, S/N- Arroio do Ouro, Vale Real -29.365668, -51.218025 Abrigo de pessoas, centro de triagem...","alta",""
"Vale Verde","verde","semáforo (verde/amarelo/vermelho)","sim","920","3150","Lista de Abrigos: Abrigo I Ginásio Municipal Olívia Kappel ... Capacidade: 400 pessoas; Abrigo II Ginásio de Esportes Rosalino de Oliveira Ramos ... Capacidade: 500 pessoas; Abrigo III Prédio da antiga escola Amapá ... Capacidade: 20 pessoas; Município: População: 3.150","alta",""
"Vanini","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","1984","ABRIGOS - 1 Tipo: GINASIO Nome: Centro Esportivo Municipal Área disponível para alojamento(m²): 1500 ... ABRIGOS - 2 Tipo: PAROQUIA Nome: Salão Paroquial de Vanini; População: 2130; N° de afetados: 1984","alta",""
"Venâncio Aires","verde","semáforo (verde/amarelo/vermelho)","sim","800","70705","Parque do Chimarrão — Ginásio Poliesportivo | Capacidade: 300 pessoas; Chimarródromo | Capacidade: 200 pessoas; Morada Velha | Capacidade: 60 pessoas; Ginásio da Linha Mangueirão | No de Pessoas | 120; Ginásio da Estância Nova | No de Pessoas | 120; Ginásio da Santa Tecla | No de Pessoas | 100","alta",""
"Vera Cruz","amarelo","semáforo (verde/amarelo/vermelho)","nao","N/A","N/A","Não há listagem de abrigos com nomes ou endereços nem indicação de capacidade; o documento apresenta atribuições, lista de contatos e instituições envolvidas, e determina ""Contatar os gerenciadores dos abrigos"" e ""fazer levantamento do abrigo, no final de cada jornada, com número de desabrigados, alimentação disponível, medicamentos necessários e demais necessidades""","alta",""
"Vespasiano Corrêa","verde","semáforo (verde/amarelo/vermelho)","sim","150","1800","Salão Paroquial (Centro) Abrigo oficial, centro de informações e coleta/distribuição de donativos 150 pessoas Área segura","alta",""
"Viadutos","vermelho","semáforo (verde/amarelo/vermelho)","nao","N/A","N/A","N/A","baixa",""
"Viamão","amarelo","semáforo (verde/amarelo/vermelho)","nao","N/A","224.116","Procedimentos de Abrigamento: - Ao ser acionado, a Assistência Social, que é responsável pelos abrigos deve imediatamente preparar o local para recebimento das pessoas.","alta",""
"Victor Graeff","verde","semáforo (verde/amarelo/vermelho)","sim","300","N/A","Abrigo I: Ginásio Municipal POLIVAR ... Capacidade: 300 pessoas [ref_id:4]; Abrigo II: Associação dos Moradores do Bairro Planalto, Rua Belarmino Penna 23 [ref_id:4]; Abrigo III / IV / V (identificados com endereço, responsável e campo Capacidade) [ref_id:0]","alta",""
"Vila Lângaro","verde","semáforo (verde/amarelo/vermelho)","sim","800","2.079","Identificação: Ginásio Municipal de Esporte... Endereço: Avenida Vitório Costella nº 605... Capacidade: 800 pessoas","alta",""
"Vila Maria","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","4.413","ABRIGOS - 1 Tipo: GINASIO Nome: Ginásio Municipal Professor Dornélio Francisco Comunelo Endereço: Rua Dr. Getúlio Vargas 644""; ""ABRIGOS - 2 Tipo: CENTRO_SOCIAL Nome: Centro de Tradições Gaúchas Francisco Vitor Maroni Endereço: Estrada Comunidade Ponta Grossa, sem numero""; ""População: 4.413""","alta",""
"Vila Nova do Sul","verde","semáforo (verde/amarelo/vermelho)","sim","1300","3863","Identificação: Galpão Crioulo da Prefeitura Municipal de Vila Nova do Sul ... Capacidade: 300 pessoas [ref_id:0] Identificação: CTG Sincero Lemes ... Capacidade: 600 pessoas [ref_id:0] Identificação: Escola Municipal Maria Pereira Teixeira ... Capacidade: 400 pessoas [ref_id:0] População: 3.863 (IBGE 2023) [ref_id:3]","alta",""
"Westfália","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","N/A","7. Lista de Abrigos Abrigo 1 Abrigo 2 Abrigo 3 Abrigo 4 Identificação Ginásio Municipal Esporte Clube Flamengo Esporte Clube Fluminense Esporte Clube Juventude Endereço Linha Paissandu Rua Alfredo Dahmer, 862 - Centro Rua Henrique Uebel Linha Berlim Responsável Renato Brune Sidinei Carniel Ido Ahlert Clécio Spellmeier","alta",""
"Água Santa","verde","semáforo (verde/amarelo/vermelho)","sim","NÃO INFORMADO","3,912","Documento 'Lista De Abrigos' mostrando duas entradas (Abrigo I e Abrigo II) com campos de identificação, endereço e capacidade (número de pessoas) e página de 'DADOS DO MUNICÍPIO' registrando população 3,912 — IBGE 2010","media",""
"Áurea","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","340","ABRIGO 1 Tipo: CENTRO ESPORTIVO Nome: Ginásio Nédio Omizzolo Endereço: Praça João Paulo II, Nº 33 - Centro | ABRIGO 2 Tipo: PARÓQUIA DA CIDADE Nome: Centro de Eventos Paroquial Endereço: Rua da Matriz, 267, Centro | ABRIGO 3 Tipo: GINÁSIO Nome: Ginásio Municipal da Escola Agrícola Endereço: linha 4, secção treze de maio, km 1,6 | Nº de afetados: 340","alta",""
